p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,0.000000e+00,0.000000e+00,1.812000e-01,9.790000e-02
6.608104e-04,0.000000e+00,0.000000e+00,2.437000e-01,1.290000e-01
8.733407e-04,0.000000e+00,0.000000e+00,3.196000e-01,1.660000e-01
1.154225e-03,0.000000e+00,0.000000e+00,4.231000e-01,2.156000e-01
1.525448e-03,0.000000e+00,0.000000e+00,5.547000e-01,2.722000e-01
2.016064e-03,0.000000e+00,0.000000e+00,7.242000e-01,3.407000e-01
2.664471e-03,0.000000e+00,0.000000e+00,9.430000e-01,4.189000e-01
3.521421e-03,0.000000e+00,1.000000e-04,1.246500e+00,5.100000e-01
4.653982e-03,0.000000e+00,3.000000e-04,1.655700e+00,6.119000e-01
6.150800e-03,0.000000e+00,2.000000e-04,2.195900e+00,7.243000e-01
8.129024e-03,0.000000e+00,4.000000e-04,2.872200e+00,8.129000e-01
1.074349e-02,0.000000e+00,1.000000e-03,3.803600e+00,8.952000e-01
1.419882e-02,0.000000e+00,4.600000e-03,4.953200e+00,9.462000e-01
1.876545e-02,0.000000e+00,6.000000e-03,6.402900e+00,9.793000e-01
2.480081e-02,0.000000e+00,1.640000e-02,8.368600e+00,9.953000e-01
3.277726e-02,0.000000e+00,3.850000e-02,1.087790e+01,9.994000e-01
4.331910e-02,0.000000e+00,8.190000e-02,1.388020e+01,9.998000e-01
5.725143e-02,0.000000e+00,1.558000e-01,1.756660e+01,1.000000e+00
7.566467e-02,0.000000e+00,2.769000e-01,2.218000e+01,1.000000e+00
1.000000e-01,0.000000e+00,4.026000e-01,2.743500e+01,1.000000e+00
