p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
0.000000e+00,1.000000e-05,4.000000e-05,2.352000e-02,6.590000e-03
0.000000e+00,2.154435e-05,1.400000e-04,5.060000e-02,1.415000e-02
0.000000e+00,4.641589e-05,1.800000e-04,1.086200e-01,2.997000e-02
0.000000e+00,1.000000e-04,5.000000e-04,2.261200e-01,6.173000e-02
0.000000e+00,2.154435e-04,8.400000e-04,4.978400e-01,1.313500e-01
0.000000e+00,4.641589e-04,1.650000e-03,1.064400e+00,2.597200e-01
0.000000e+00,1.000000e-03,3.960000e-03,2.270460e+00,4.780300e-01
0.000000e+00,2.154435e-03,8.180000e-03,4.788880e+00,7.536100e-01
0.000000e+00,4.641589e-03,1.895000e-02,9.952920e+00,9.501500e-01
0.000000e+00,1.000000e-02,3.864000e-02,1.988178e+01,9.986300e-01
