p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,5.873400e-01,2.912800e-01
6.608104e-04,6.608104e-04,0.000000e+00,7.699500e-01,3.623700e-01
8.733407e-04,8.733407e-04,0.000000e+00,1.020800e+00,4.511500e-01
1.154225e-03,1.154225e-03,1.000000e-05,1.346010e+00,5.449600e-01
1.525448e-03,1.525448e-03,0.000000e+00,1.779990e+00,6.501200e-01
2.016064e-03,2.016064e-03,0.000000e+00,2.339870e+00,7.496700e-01
2.664471e-03,2.664471e-03,6.000000e-05,3.063790e+00,8.387600e-01
3.521421e-03,3.521421e-03,4.000000e-05,4.004750e+00,9.087700e-01
4.653982e-03,4.653982e-03,1.800000e-04,5.282120e+00,9.578900e-01
6.150800e-03,6.150800e-03,7.200000e-04,6.889220e+00,9.849000e-01
8.129024e-03,8.129024e-03,1.890000e-03,8.978900e+00,9.958400e-01
1.074349e-02,1.074349e-02,5.020000e-03,1.162222e+01,9.992700e-01
1.419882e-02,1.419882e-02,1.356000e-02,1.498662e+01,9.998800e-01
1.876545e-02,1.876545e-02,3.287000e-02,1.922011e+01,1.000000e+00
2.480081e-02,2.480081e-02,7.879000e-02,2.435397e+01,1.000000e+00
3.277726e-02,3.277726e-02,1.636100e-01,3.048316e+01,1.000000e+00
4.331910e-02,4.331910e-02,2.851200e-01,3.772955e+01,1.000000e+00
5.725143e-02,5.725143e-02,4.133000e-01,4.594810e+01,1.000000e+00
7.566467e-02,7.566467e-02,4.832700e-01,5.509320e+01,1.000000e+00
1.000000e-01,1.000000e-01,4.971500e-01,6.480437e+01,1.000000e+00
