p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
1.000000e-05,0.000000e+00,2.000000e-04,1.016000e-02,2.970000e-03
2.154435e-05,0.000000e+00,5.800000e-04,2.184000e-02,6.370000e-03
4.641589e-05,0.000000e+00,1.280000e-03,4.682000e-02,1.367000e-02
1.000000e-04,0.000000e+00,2.770000e-03,1.028600e-01,2.956000e-02
2.154435e-04,0.000000e+00,6.060000e-03,2.128000e-01,6.102000e-02
4.641589e-04,0.000000e+00,1.230000e-02,4.618600e-01,1.281800e-01
1.000000e-03,0.000000e+00,2.775000e-02,9.686800e-01,2.558000e-01
2.154435e-03,0.000000e+00,5.695000e-02,1.974640e+00,4.678300e-01
4.641589e-03,0.000000e+00,1.144400e-01,3.821720e+00,7.408500e-01
1.000000e-02,0.000000e+00,2.144500e-01,6.887020e+00,9.440600e-01
