p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
1.000000e-03,1.000000e-03,1.000000e-04,7.080000e-02,5.220000e-02
1.558776e-03,1.558776e-03,0.000000e+00,1.094000e-01,8.160000e-02
2.429781e-03,2.429781e-03,5.000000e-04,1.759000e-01,1.254000e-01
3.787483e-03,3.787483e-03,1.500000e-03,2.718000e-01,1.883000e-01
5.903836e-03,5.903836e-03,3.300000e-03,4.152000e-01,2.731000e-01
9.202755e-03,9.202755e-03,5.800000e-03,6.339000e-01,3.909000e-01
1.434503e-02,1.434503e-02,1.500000e-02,9.784000e-01,5.373000e-01
2.236068e-02,2.236068e-02,3.560000e-02,1.480100e+00,6.992000e-01
3.485528e-02,3.485528e-02,7.460000e-02,2.198900e+00,8.447000e-01
5.433156e-02,5.433156e-02,1.559000e-01,3.231700e+00,9.476000e-01
8.469070e-02,8.469070e-02,2.777000e-01,4.549800e+00,9.881000e-01
1.320138e-01,1.320138e-01,4.138000e-01,6.040900e+00,9.985000e-01
2.057799e-01,2.057799e-01,4.861000e-01,7.453700e+00,9.999000e-01
3.207646e-01,3.207646e-01,4.964000e-01,8.542200e+00,1.000000e+00
5.000000e-01,5.000000e-01,5.007000e-01,8.991000e+00,9.999000e-01
