p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
1.000000e-05,0.000000e+00,8.000000e-05,4.400000e-04,1.600000e-04
2.154435e-05,0.000000e+00,1.600000e-04,9.400000e-04,3.800000e-04
4.641589e-05,0.000000e+00,2.500000e-04,2.200000e-03,8.100000e-04
1.000000e-04,0.000000e+00,6.700000e-04,4.540000e-03,1.650000e-03
2.154435e-04,0.000000e+00,1.260000e-03,1.044000e-02,3.830000e-03
4.641589e-04,0.000000e+00,2.890000e-03,2.194000e-02,8.240000e-03
1.000000e-03,0.000000e+00,6.060000e-03,4.804000e-02,1.799000e-02
2.154435e-03,0.000000e+00,1.277000e-02,1.024600e-01,3.804000e-02
4.641589e-03,0.000000e+00,2.700000e-02,2.146600e-01,7.980000e-02
1.000000e-02,0.000000e+00,5.648000e-02,4.408800e-01,1.632400e-01
