p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,1.981600e+01,1.000000e+00
6.608104e-04,6.608104e-04,0.000000e+00,2.606860e+01,1.000000e+00
8.733407e-04,8.733407e-04,0.000000e+00,3.436880e+01,1.000000e+00
1.154225e-03,1.154225e-03,0.000000e+00,4.543690e+01,1.000000e+00
1.525448e-03,1.525448e-03,0.000000e+00,5.992570e+01,1.000000e+00
2.016064e-03,2.016064e-03,0.000000e+00,7.922520e+01,1.000000e+00
2.664471e-03,2.664471e-03,1.000000e-04,1.045749e+02,1.000000e+00
3.521421e-03,3.521421e-03,0.000000e+00,1.381560e+02,1.000000e+00
4.653982e-03,4.653982e-03,0.000000e+00,1.821957e+02,1.000000e+00
6.150800e-03,6.150800e-03,3.000000e-04,2.395928e+02,1.000000e+00
8.129024e-03,8.129024e-03,1.000000e-04,3.148458e+02,1.000000e+00
1.074349e-02,1.074349e-02,1.100000e-03,4.133127e+02,1.000000e+00
1.419882e-02,1.419882e-02,3.900000e-03,5.407288e+02,1.000000e+00
1.876545e-02,1.876545e-02,8.400000e-03,7.050386e+02,1.000000e+00
2.480081e-02,2.480081e-02,2.910000e-02,9.169832e+02,1.000000e+00
3.277726e-02,3.277726e-02,8.550000e-02,1.185437e+03,1.000000e+00
4.331910e-02,4.331910e-02,2.157000e-01,1.520947e+03,1.000000e+00
5.725143e-02,5.725143e-02,3.956000e-01,1.934155e+03,1.000000e+00
7.566467e-02,7.566467e-02,4.899000e-01,2.427344e+03,1.000000e+00
1.000000e-01,1.000000e-01,4.960000e-01,2.998816e+03,1.000000e+00
