p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
1.000000e-04,1.000000e-04,0.000000e+00,3.600000e-03,1.900000e-03
2.576301e-04,2.576301e-04,0.000000e+00,9.600000e-03,5.600000e-03
6.637329e-04,6.637329e-04,0.000000e+00,2.770000e-02,1.620000e-02
1.709976e-03,1.709976e-03,0.000000e+00,7.140000e-02,4.120000e-02
4.405413e-03,4.405413e-03,5.000000e-04,1.748000e-01,1.005000e-01
1.134967e-02,1.134967e-02,3.500000e-03,4.512000e-01,2.397000e-01
2.924018e-02,2.924018e-02,1.970000e-02,1.124600e+00,5.046000e-01
7.533151e-02,7.533151e-02,1.024000e-01,2.643700e+00,8.426000e-01
1.940767e-01,1.940767e-01,3.556000e-01,5.739000e+00,9.924000e-01
5.000000e-01,5.000000e-01,5.039000e-01,9.389100e+00,1.000000e+00
